amfi_code,date,nav
100016,2022-01-02,512.1124
100016,2022-01-03,503.1674
100016,2022-01-04,531.285
100016,2022-01-06,474.1732
100016,2022-01-07,452.584
100016,2022-01-08,433.0211
100016,2022-01-09,424.3603
100016,2022-01-11,448.4277
100016,2022-01-12,482.4201
100016,2022-01-13,510.2445
100016,2022-01-14,514.3636
100016,2022-01-17,514.7627
100016,2022-01-18,517.3803
100016,2022-01-19,513.1866
100016,2022-01-20,507.1294
100016,2022-01-21,507.871
100016,2022-01-24,506.7062
100016,2022-01-25,509.7762
100016,2022-01-26,509.68
100016,2022-01-27,510.8661
100016,2022-01-28,503.8641
100016,2022-01-31,512.5903
100016,2022-02-02,515.5386
100016,2022-02-03,504.7495
100016,2022-02-05,524.0515
100016,2022-02-06,473.1602
100016,2022-02-08,423.7137
100016,2022-02-09,418.068
100016,2022-02-11,453.5279
100016,2022-02-12,480.9949
100016,2022-02-14,507.5435
100016,2022-02-15,504.7492
100016,2022-02-16,507.0506
100016,2022-02-17,516.7872
100016,2022-02-18,516.4246
100016,2022-02-21,519.3918
100016,2022-02-22,519.1698
100016,2022-02-23,528.4118
100016,2022-02-24,520.6004
100016,2022-02-25,521.3038
100016,2022-02-28,514.1489
100016,2022-03-01,520.4608
100016,2022-03-02,512.0153
100016,2022-03-03,505.6316
100016,2022-03-05,515.5881
100016,2022-03-06,470.7754
100016,2022-03-08,423.3646
100016,2022-03-10,430.3701
100016,2022-03-11,455.1164
100016,2022-03-14,519.2545
100016,2022-03-15,518.432
100016,2022-03-16,516.825
100016,2022-03-17,525.4534
100016,2022-03-18,531.2109
100016,2022-03-21,532.1264
100016,2022-03-22,521.6911
100016,2022-03-23,520.3011
100016,2022-03-24,533.1283
100016,2022-03-25,532.3194
100016,2022-03-28,537.8012
100016,2022-03-29,544.965
100016,2022-03-30,546.3002
100016,2022-03-31,542.5392
100016,2022-04-01,515.0971
100016,2022-04-02,513.6729
100016,2022-04-03,504.6233
100016,2022-04-04,534.7762
100016,2022-04-05,522.4674
100016,2022-04-07,443.3196
100016,2022-04-08,427.5619
100016,2022-04-10,428.3154
100016,2022-04-11,452.9791
100016,2022-04-13,522.8529
100016,2022-04-14,528.6739
100016,2022-04-15,526.1696
100016,2022-04-18,518.7241
100016,2022-04-19,518.493
100016,2022-04-20,518.9178
100016,2022-04-21,519.9214
100016,2022-04-22,526.4763
100016,2022-04-25,525.6507
100016,2022-04-26,525.3674
100016,2022-04-27,520.5493
100016,2022-04-28,524.6005
100016,2022-04-29,525.7251
100016,2022-05-01,521.7239
100016,2022-05-04,531.2213
100016,2022-05-05,517.1078
100016,2022-05-07,449.0289
100016,2022-05-08,424.424
100016,2022-05-09,415.1206
100016,2022-05-10,432.9656
100016,2022-05-12,483.5309
100016,2022-05-13,499.2941
100016,2022-05-16,497.1556
100016,2022-05-17,510.4206
100016,2022-05-18,506.2251
100016,2022-05-19,502.3871
100016,2022-05-20,500.1462
100016,2022-05-23,501.4785
100016,2022-05-24,499.6609
100016,2022-05-25,502.6257
100016,2022-05-26,498.5637
100016,2022-05-27,492.78
100016,2022-05-30,485.277
100016,2022-05-31,476.0989
100016,2022-06-01,515.788
100016,2022-06-04,532.3217
100016,2022-06-05,514.6837
100016,2022-06-06,476.2119
100016,2022-06-07,451.9322
100016,2022-06-09,417.805
100016,2022-06-10,426.8679
100016,2022-06-12,485.0894
100016,2022-06-13,468.8163
100016,2022-06-14,466.3477
100016,2022-06-15,463.7261
100016,2022-06-16,461.2993
100016,2022-06-17,459.9666
100016,2022-06-20,457.6317
100016,2022-06-21,458.7099
100016,2022-06-22,460.4075
100016,2022-06-23,456.9604
100016,2022-06-24,462.3501
100016,2022-06-27,458.6076
100016,2022-06-28,452.344
100016,2022-06-29,454.0998
100016,2022-06-30,451.0707
100016,2022-07-01,515.1639
100016,2022-07-02,508.0666
100016,2022-07-03,504.411
100016,2022-07-04,526.7582
100016,2022-07-06,481.6458
100016,2022-07-07,446.2213
100016,2022-07-09,418.6355
100016,2022-07-10,421.495
100016,2022-07-11,457.1295
100016,2022-07-12,481.0854
100016,2022-07-13,441.7416
100016,2022-07-14,433.2246
100016,2022-07-15,432.1093
100016,2022-07-18,431.4649
100016,2022-07-19,434.4201
100016,2022-07-20,429.3142
100016,2022-07-21,423.8151
100016,2022-07-22,425.7236
100016,2022-07-25,429.7419
100016,2022-07-26,424.047
100016,2022-07-27,428.3319
100016,2022-07-28,428.6948
100016,2022-07-29,433.0659
100016,2022-08-02,510.3595
100016,2022-08-03,518.6513
100016,2022-08-04,525.7986
100016,2022-08-06,480.4735
100016,2022-08-07,440.6669
100016,2022-08-08,423.1925
100016,2022-08-09,423.2368
100016,2022-08-11,457.3685
100016,2022-08-12,483.5409
100016,2022-08-15,417.6036
100016,2022-08-16,417.4997
100016,2022-08-17,422.3739
100016,2022-08-18,424.1079
100016,2022-08-19,423.4485
100016,2022-08-22,420.3416
100016,2022-08-23,423.5281
100016,2022-08-24,416.803
100016,2022-08-25,419.4003
100016,2022-08-26,415.5691
100016,2022-08-29,420.401
100016,2022-08-30,421.2166
100016,2022-08-31,423.8348
100016,2022-09-02,509.0223
100016,2022-09-03,517.7387
100016,2022-09-05,516.5793
100016,2022-09-06,473.1759
100016,2022-09-08,422.7537
100016,2022-09-09,424.9639
100016,2022-09-11,460.3808
100016,2022-09-12,487.4889
100016,2022-09-13,418.8403
100016,2022-09-14,419.437
100016,2022-09-15,411.1759
100016,2022-09-16,417.5046
100016,2022-09-19,419.3505
100016,2022-09-20,424.1319
100016,2022-09-21,418.4765
100016,2022-09-22,423.3133
100016,2022-09-23,431.9494
100016,2022-09-26,427.1671
100016,2022-09-27,430.305
100016,2022-09-28,430.5313
100016,2022-09-29,424.9261
100016,2022-09-30,426.9974
100016,2022-10-01,510.7136
100016,2022-10-02,509.4161
100016,2022-10-03,520.3416
100016,2022-10-05,511.4204
100016,2022-10-06,471.0598
100016,2022-10-08,412.293
100016,2022-10-10,422.2208
100016,2022-10-11,451.9519
100016,2022-10-13,423.3166
100016,2022-10-14,425.5227
